QUANTITYORDERED,SELLINGPRICE,SALES,ORDERDATE,STATUS,PRODUCTLINE,ACTUALPRICE,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,DEALSIZE
26,100.0,3765.32,3/11/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
22,98.18,2159.96,5/5/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Euro Shopping Channel,Madrid,Spain,Small
34,99.41,3379.94,6/15/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Handji Gifts& Co,Singapore,Singapore,Medium
50,100.0,5093.5,7/20/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
48,100.0,5773.44,8/19/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Diecast Classics Inc.,Allentown,USA,Medium
41,100.0,4528.86,9/8/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Land of Toys Inc.,NYC,USA,Medium
36,100.0,4816.08,10/13/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Marta's Replicas Co.,Cambridge,USA,Medium
29,100.0,3416.78,10/22/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Canadian Gift Exchange Network,Vancouver,Canada,Medium
33,37.48,1236.84,11/5/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Vitachrome Inc.,NYC,USA,Small
46,100.0,5814.86,11/19/2004 0:00,On Hold,Trucks and Buses,122,S18_2319,"Volvo Model Replicas, Co",Lule,Sweden,Medium
38,100.0,5223.48,12/1/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Muscle Machine Inc,NYC,USA,Medium
20,36.42,728.4,12/10/2004 0:00,Shipped,Trucks and Buses,122,S18_2319,Euro Shopping Channel,Madrid,Spain,Small
22,100.0,3949.0,1/20/2005 0:00,Shipped,Trucks and Buses,122,S18_2319,"Anna's Decorations, Ltd",North Sydney,Australia,Medium
27,100.0,3843.99,2/22/2005 0:00,Shipped,Trucks and Buses,122,S18_2319,Euro Shopping Channel,Madrid,Spain,Medium
56,98.18,5498.08,5/3/2005 0:00,Shipped,Trucks and Buses,122,S18_2319,Euro Shopping Channel,Madrid,Spain,Medium
38,99.41,3777.58,5/31/2005 0:00,In Process,Trucks and Buses,122,S18_2319,La Rochelle Gifts,Nantes,France,Medium
25,100.0,3782.0,1/9/2003 0:00,Shipped,Vintage Cars,127,S18_2325,"Blauer See Auto, Co.",Frankfurt,Germany,Medium
33,100.0,3859.68,3/18/2003 0:00,Shipped,Vintage Cars,127,S18_2325,"AV Stores, Co.",Manchester,UK,Medium
42,100.0,4431.84,5/21/2003 0:00,Shipped,Vintage Cars,127,S18_2325,Signal Gift Stores,Las Vegas,USA,Medium
33,100.0,4950.33,9/12/2003 0:00,Shipped,Vintage Cars,127,S18_2325,Signal Collectibles Ltd.,Brisbane,USA,Medium
38,100.0,4299.7,10/18/2003 0:00,Shipped,Vintage Cars,127,S18_2325,Corporate Gift Ideas Co.,San Francisco,USA,Medium
31,100.0,4492.83,11/5/2003 0:00,Shipped,Vintage Cars,127,S18_2325,Rovelli Gifts,Bergamo,Italy,Medium
20,100.0,2212.0,11/12/2003 0:00,Shipped,Vintage Cars,127,S18_2325,Mini Gifts Distributors Ltd.,San Rafael,USA,Small
44,100.0,4642.88,11/21/2003 0:00,Shipped,Vintage Cars,127,S18_2325,"Australian Collectables, Ltd",Glen Waverly,Australia,Medium
26,100.0,3206.32,12/2/2003 0:00,Shipped,Vintage Cars,127,S18_2325,Muscle Machine Inc,NYC,USA,Medium
27,100.0,3604.23,1/26/2004 0:00,Shipped,Vintage Cars,127,S18_2325,"Corrida Auto Replicas, Ltd",Madrid,Spain,Medium
46,100.0,7017.76,3/2/2004 0:00,Shipped,Vintage Cars,127,S18_2325,"Saveley & Henriot, Co.",Lyon,France,Large
47,100.0,6154.18,4/26/2004 0:00,Shipped,Vintage Cars,127,S18_2325,Diecast Collectables,Boston,USA,Medium
37,100.0,4750.8,8/17/2004 0:00,Shipped,Vintage Cars,127,S18_2325,Amica Models & Co.,Torino,Italy,Medium
31,100.0,3822.92,9/1/2004 0:00,Shipped,Vintage Cars,127,S18_2325,Handji Gifts& Co,Singapore,Singapore,Medium
24,100.0,2440.8,10/11/2004 0:00,Shipped,Vintage Cars,127,S18_2325,Auto Assoc. & Cie.,Versailles,France,Small
31,100.0,4729.36,10/21/2004 0:00,Shipped,Vintage Cars,127,S18_2325,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
50,100.0,12536.5,11/4/2004 0:00,Shipped,Vintage Cars,127,S18_2325,Online Diecast Creations Co.,Nashua,USA,Large
35,64.69,2264.15,11/17/2004 0:00,Shipped,Vintage Cars,127,S18_2325,"AV Stores, Co.",Manchester,UK,Small
30,100.0,3928.2,11/25/2004 0:00,Shipped,Vintage Cars,127,S18_2325,Marseille Mini Autos,Marseille,France,Medium
29,100.0,3630.22,12/9/2004 0:00,Shipped,Vintage Cars,127,S18_2325,Lyon Souveniers,Paris,France,Medium
27,100.0,4196.07,1/12/2005 0:00,Resolved,Vintage Cars,127,S18_2325,Toys4GrownUps.com,Pasadena,USA,Medium
40,100.0,4931.6,2/16/2005 0:00,Shipped,Vintage Cars,127,S18_2325,Euro Shopping Channel,Madrid,Spain,Medium
31,98.99,3068.69,3/4/2005 0:00,Shipped,Vintage Cars,127,S18_2325,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
6,100.0,785.64,4/23/2005 0:00,Shipped,Vintage Cars,127,S18_2325,Handji Gifts& Co,Singapore,Singapore,Small
45,100.0,4977.0,5/29/2005 0:00,In Process,Vintage Cars,127,S18_2325,Souveniers And Things Co.,Chatswood,Australia,Medium
22,54.09,1189.98,1/29/2003 0:00,Shipped,Trucks and Buses,60,S18_2432,Baane Mini Imports,Stavern,Norway,Small
45,68.67,3090.15,4/1/2003 0:00,Shipped,Trucks and Buses,60,S18_2432,"La Corne D'abondance, Co.",Paris,France,Medium
43,65.02,2795.86,5/28/2003 0:00,Shipped,Trucks and Buses,60,S18_2432,"Corrida Auto Replicas, Ltd",Madrid,Spain,Small
46,61.99,2851.54,7/24/2003 0:00,Shipped,Trucks and Buses,60,S18_2432,Technics Stores Inc.,Burlingame,USA,Small
39,69.28,2701.92,9/21/2003 0:00,Shipped,Trucks and Buses,60,S18_2432,"Oulu Toy Supplies, Inc.",Oulu,Finland,Small
31,71.1,2204.1,10/22/2003 0:00,Shipped,Trucks and Buses,60,S18_2432,"Dragon Souveniers, Ltd.",Singapore,Singapore,Small
41,69.28,2840.48,11/6/2003 0:00,Shipped,Trucks and Buses,60,S18_2432,"Stylish Desk Decors, Co.",London,UK,Small
44,60.16,2647.04,11/14/2003 0:00,Shipped,Trucks and Buses,60,S18_2432,"Iberia Gift Imports, Corp.",Sevilla,Spain,Small
45,70.49,3172.05,11/25/2003 0:00,Shipped,Trucks and Buses,60,S18_2432,"Saveley & Henriot, Co.",Lyon,France,Medium
37,69.89,2585.93,12/9/2003 0:00,Shipped,Trucks and Buses,60,S18_2432,Diecast Collectables,Boston,USA,Small
35,61.38,2148.3,2/4/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Handji Gifts& Co,Singapore,Singapore,Small
28,59.55,1667.4,3/11/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Mini Gifts Distributors Ltd.,San Rafael,USA,Small
30,61.99,1859.7,5/5/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Euro Shopping Channel,Madrid,Spain,Small
30,49.22,1476.6,6/15/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Handji Gifts& Co,Singapore,Singapore,Small
25,69.28,1732.0,7/20/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Mini Gifts Distributors Ltd.,San Rafael,USA,Small
29,57.73,1674.17,8/19/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Diecast Classics Inc.,Allentown,USA,Small
26,57.73,1500.98,9/8/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Scandinavian Gift Ideas,Boras,Sweden,Small
41,53.48,2192.68,10/13/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Marta's Replicas Co.,Cambridge,USA,Small
34,52.87,1797.58,10/22/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Canadian Gift Exchange Network,Vancouver,Canada,Small
35,61.21,2142.35,11/4/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Online Diecast Creations Co.,Nashua,USA,Small
34,61.38,2086.92,11/19/2004 0:00,On Hold,Trucks and Buses,60,S18_2432,"Volvo Model Replicas, Co",Lule,Sweden,Small
50,100.0,6834.5,11/29/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,"Australian Collectors, Co.",Melbourne,Australia,Medium
41,61.99,2541.59,12/10/2004 0:00,Shipped,Trucks and Buses,60,S18_2432,Mini Gifts Distributors Ltd.,San Rafael,USA,Small
22,96.86,2130.92,1/20/2005 0:00,Shipped,Trucks and Buses,60,S18_2432,"Anna's Decorations, Ltd",North Sydney,Australia,Small
35,48.62,1701.7,2/17/2005 0:00,Shipped,Trucks and Buses,60,S18_2432,Corporate Gift Ideas Co.,San Francisco,USA,Small
44,38.5,1694.0,3/9/2005 0:00,Shipped,Trucks and Buses,60,S18_2432,"Anna's Decorations, Ltd",North Sydney,Australia,Small
47,61.99,2913.53,5/3/2005 0:00,Shipped,Trucks and Buses,60,S18_2432,Euro Shopping Channel,Madrid,Spain,Small
19,49.22,935.18,5/31/2005 0:00,In Process,Trucks and Buses,60,S18_2432,La Rochelle Gifts,Nantes,France,Small
34,90.39,3073.26,2/17/2003 0:00,Shipped,Planes,84,S18_2581,Rovelli Gifts,Bergamo,Italy,Medium
29,71.81,2082.49,4/29/2003 0:00,Shipped,Planes,84,S18_2581,"Australian Collectors, Co.",Melbourne,Australia,Small
49,69.27,3394.23,6/27/2003 0:00,Shipped,Planes,84,S18_2581,Euro Shopping Channel,Madrid,Spain,Medium
30,85.32,2559.6,8/25/2003 0:00,Shipped,Planes,84,S18_2581,Toys4GrownUps.com,Pasadena,USA,Small
21,70.96,1490.16,10/28/2003 0:00,Shipped,Planes,84,S18_2581,Technics Stores Inc.,Burlingame,USA,Small
50,76.88,3844.0,1/12/2004 0:00,Shipped,Planes,84,S18_2581,Osaka Souveniers Co.,Osaka,Japan,Medium
47,100.0,4724.91,2/20/2004 0:00,Shipped,Planes,84,S18_2581,"Australian Collectors, Co.",Melbourne,Australia,Medium
24,76.03,1824.72,4/2/2004 0:00,Shipped,Planes,84,S18_2581,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,Small
27,98.84,2668.68,5/11/2004 0:00,Shipped,Planes,84,S18_2581,The Sharp Gifts Warehouse,San Jose,USA,Small
33,86.17,2843.61,6/28/2004 0:00,Shipped,Planes,84,S18_2581,Gift Depot Inc.,Bridgewater,USA,Small
35,90.39,3163.65,7/23/2004 0:00,Shipped,Planes,84,S18_2581,La Rochelle Gifts,Nantes,France,Medium
31,71.81,2226.11,8/21/2004 0:00,Shipped,Planes,84,S18_2581,"Norway Gifts By Mail, Co.",Oslo,Norway,Small
25,82.79,2069.75,9/16/2004 0:00,Shipped,Planes,84,S18_2581,"Clover Collections, Co.",Dublin,Ireland,Small
27,82.79,2235.33,10/15/2004 0:00,Shipped,Planes,84,S18_2581,Mini Classics,White Plains,USA,Small
31,100.0,3116.43,11/2/2004 0:00,Shipped,Planes,84,S18_2581,Diecast Classics Inc.,Allentown,USA,Medium
45,100.0,4781.7,11/10/2004 0:00,Resolved,Planes,84,S18_2581,Danish Wholesale Imports,Kobenhavn,Denmark,Medium
27,100.0,2810.7,11/23/2004 0:00,Shipped,Planes,84,S18_2581,"Tokyo Collectables, Ltd",Minato-ku,Japan,Small
27,100.0,3515.67,12/4/2004 0:00,Shipped,Planes,84,S18_2581,Gift Ideas Corp.,Glendale,USA,Medium
42,69.27,2909.34,2/2/2005 0:00,Shipped,Planes,84,S18_2581,"Australian Gift Network, Co",South Brisbane,Australia,Small
21,74.77,1570.17,3/1/2005 0:00,Resolved,Planes,84,S18_2581,Euro Shopping Channel,Madrid,Spain,Small
34,76.88,2613.92,3/30/2005 0:00,Shipped,Planes,84,S18_2581,Reims Collectables,Reims,France,Small
42,76.03,3193.26,4/3/2005 0:00,On Hold,Planes,84,S18_2581,Tekni Collectables Inc.,Newark,USA,Medium
15,98.84,1482.6,5/10/2005 0:00,Shipped,Planes,84,S18_2581,L'ordine Souveniers,Reggio Emilia,Italy,Small
29,70.87,2055.23,2/24/2003 0:00,Shipped,Motorcycles,60,S18_2625,Land of Toys Inc.,NYC,USA,Small
46,58.15,2674.9,4/29/2003 0:00,Shipped,Motorcycles,60,S18_2625,"Australian Collectors, Co.",Melbourne,Australia,Small
30,61.78,1853.4,7/1/2003 0:00,Shipped,Motorcycles,60,S18_2625,Lyon Souveniers,Paris,France,Small
30,49.67,1490.1,8/25/2003 0:00,Shipped,Motorcycles,60,S18_2625,Toys4GrownUps.com,Pasadena,USA,Small
42,51.48,2162.16,10/10/2003 0:00,Shipped,Motorcycles,60,S18_2625,Corporate Gift Ideas Co.,San Francisco,USA,Small
46,61.18,2814.28,10/28/2003 0:00,Shipped,Motorcycles,60,S18_2625,Technics Stores Inc.,Burlingame,USA,Small
25,64.2,1605.0,11/11/2003 0:00,Shipped,Motorcycles,60,S18_2625,Daedalus Designs Imports,Lille,France,Small
32,65.42,2093.44,11/18/2003 0:00,Shipped,Motorcycles,60,S18_2625,Herkku Gifts,Bergen,Norway,Small
30,64.81,1944.3,12/1/2003 0:00,Shipped,Motorcycles,60,S18_2625,Mini Wheels Co.,San Francisco,USA,Small
40,49.67,1986.8,1/12/2004 0:00,Shipped,Motorcycles,60,S18_2625,Osaka Souveniers Co.,Osaka,Japan,Small
28,60.57,1695.96,2/20/2004 0:00,Shipped,Motorcycles,60,S18_2625,"Australian Collectors, Co.",Melbourne,Australia,Small
23,55.72,1281.56,4/3/2004 0:00,Shipped,Motorcycles,60,S18_2625,Motor Mint Distributors Inc.,Philadelphia,USA,Small
29,61.18,1774.22,5/18/2004 0:00,Shipped,Motorcycles,60,S18_2625,Tekni Collectables Inc.,Newark,USA,Small
34,58.75,1997.5,6/28/2004 0:00,Shipped,Motorcycles,60,S18_2625,Gift Depot Inc.,Bridgewater,USA,Small
37,63.6,2353.2,7/23/2004 0:00,Shipped,Motorcycles,60,S18_2625,La Rochelle Gifts,Nantes,France,Small
20,49.06,981.2,8/27/2004 0:00,Shipped,Motorcycles,60,S18_2625,Marta's Replicas Co.,Cambridge,USA,Small
32,48.46,1550.72,9/27/2004 0:00,Shipped,Motorcycles,60,S18_2625,Atelier graphique,Nantes,France,Small
34,52.09,1771.06,10/15/2004 0:00,Shipped,Motorcycles,60,S18_2625,Mini Classics,White Plains,USA,Small
42,52.7,2213.4,11/2/2004 0:00,Shipped,Motorcycles,60,S18_2625,Diecast Classics Inc.,Allentown,USA,Small
38,100.0,5266.04,11/15/2004 0:00,Shipped,Motorcycles,60,S18_2625,Land of Toys Inc.,NYC,USA,Medium
30,62.16,1864.8,11/23/2004 0:00,Shipped,Motorcycles,60,S18_2625,"Tokyo Collectables, Ltd",Minato-ku,Japan,Small
23,49.67,1142.41,1/5/2005 0:00,Shipped,Motorcycles,60,S18_2625,Technics Stores Inc.,Burlingame,USA,Small
22,53.3,1172.6,2/2/2005 0:00,Shipped,Motorcycles,60,S18_2625,"Australian Gift Network, Co",South Brisbane,Australia,Small
39,100.0,6981.0,3/3/2005 0:00,Shipped,Motorcycles,60,S18_2625,Scandinavian Gift Ideas,Boras,Sweden,Medium
55,55.72,3064.6,4/7/2005 0:00,Shipped,Motorcycles,60,S18_2625,Auto Canal Petit,Paris,France,Medium
36,61.18,2202.48,5/13/2005 0:00,Disputed,Motorcycles,60,S18_2625,Euro Shopping Channel,Madrid,Spain,Small
26,100.0,3773.38,1/9/2003 0:00,Shipped,Vintage Cars,168,S18_2795,"Blauer See Auto, Co.",Frankfurt,Germany,Medium
31,100.0,5074.39,3/18/2003 0:00,Shipped,Vintage Cars,168,S18_2795,"AV Stores, Co.",Manchester,UK,Medium
34,100.0,6483.46,5/21/2003 0:00,Shipped,Vintage Cars,168,S18_2795,"Australian Collectors, Co.",Melbourne,Australia,Medium
41,100.0,7956.46,7/16/2003 0:00,Shipped,Vintage Cars,168,S18_2795,Souveniers And Things Co.,Chatswood,Australia,Large
23,100.0,4230.62,9/12/2003 0:00,Shipped,Vintage Cars,168,S18_2795,Signal Collectibles Ltd.,Brisbane,USA,Medium
48,100.0,7209.12,10/18/2003 0:00,Shipped,Vintage Cars,168,S18_2795,Corporate Gift Ideas Co.,San Francisco,USA,Large
22,100.0,3452.68,11/5/2003 0:00,Shipped,Vintage Cars,168,S18_2795,Rovelli Gifts,Bergamo,Italy,Medium
21,100.0,3047.73,11/12/2003 0:00,Shipped,Vintage Cars,168,S18_2795,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
22,100.0,3675.32,11/21/2003 0:00,Shipped,Vintage Cars,168,S18_2795,"Australian Collectables, Ltd",Glen Waverly,Australia,Medium
40,100.0,7492.4,12/3/2003 0:00,Shipped,Vintage Cars,168,S18_2795,Euro Shopping Channel,Madrid,Spain,Large
50,100.0,9534.5,1/26/2004 0:00,Shipped,Vintage Cars,168,S18_2795,"Corrida Auto Replicas, Ltd",Madrid,Spain,Large
29,100.0,5579.02,3/2/2004 0:00,Shipped,Vintage Cars,168,S18_2795,"Saveley & Henriot, Co.",Lyon,France,Medium
43,100.0,5950.34,4/29/2004 0:00,Shipped,Vintage Cars,168,S18_2795,Euro Shopping Channel,Madrid,Spain,Medium
24,100.0,3726.0,6/4/2004 0:00,Shipped,Vintage Cars,168,S18_2795,Mini Caravy,Strasbourg,France,Medium
22,100.0,4455.0,8/17/2004 0:00,Shipped,Vintage Cars,168,S18_2795,Amica Models & Co.,Torino,Italy,Medium
43,100.0,8272.34,9/3/2004 0:00,Shipped,Vintage Cars,168,S18_2795,Herkku Gifts,Bergen,Norway,Large
20,100.0,3577.6,10/11/2004 0:00,Shipped,Vintage Cars,168,S18_2795,Auto Assoc. & Cie.,Versailles,France,Medium
25,100.0,3881.25,10/21/2004 0:00,Shipped,Vintage Cars,168,S18_2795,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
36,100.0,5797.44,11/4/2004 0:00,Shipped,Vintage Cars,168,S18_2795,Online Diecast Creations Co.,Nashua,USA,Medium
24,52.67,1264.08,11/17/2004 0:00,Shipped,Vintage Cars,168,S18_2795,"AV Stores, Co.",Manchester,UK,Small
21,100.0,4815.3,11/29/2004 0:00,Shipped,Vintage Cars,168,S18_2795,"Australian Collectors, Co.",Melbourne,Australia,Medium
30,100.0,4462.2,12/9/2004 0:00,Shipped,Vintage Cars,168,S18_2795,Lyon Souveniers,Paris,France,Medium
32,94.79,3033.28,1/12/2005 0:00,Resolved,Vintage Cars,168,S18_2795,Toys4GrownUps.com,Pasadena,USA,Medium
21,47.18,990.78,2/16/2005 0:00,Shipped,Vintage Cars,168,S18_2795,Euro Shopping Channel,Madrid,Spain,Small
26,78.11,2030.86,3/4/2005 0:00,Shipped,Vintage Cars,168,S18_2795,Mini Gifts Distributors Ltd.,San Rafael,USA,Small
35,100.0,5433.75,5/29/2005 0:00,In Process,Vintage Cars,168,S18_2795,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
26,100.0,3157.44,3/10/2003 0:00,Shipped,Classic Cars,132,S18_2870,Motor Mint Distributors Inc.,Philadelphia,USA,Medium
46,100.0,5161.2,5/20/2003 0:00,Shipped,Classic Cars,132,S18_2870,Atelier graphique,Nantes,France,Medium
37,100.0,4346.76,7/10/2003 0:00,Shipped,Classic Cars,132,S18_2870,Reims Collectables,Reims,France,Medium
27,100.0,3528.36,9/11/2003 0:00,Shipped,Classic Cars,132,S18_2870,"Anna's Decorations, Ltd",North Sydney,Australia,Medium
23,100.0,3187.8,10/17/2003 0:00,Shipped,Classic Cars,132,S18_2870,Heintze Collectables,Aaarhus,Denmark,Medium
39,100.0,6023.16,11/5/2003 0:00,Shipped,Classic Cars,132,S18_2870,Gift Depot Inc.,Bridgewater,USA,Medium
27,100.0,3884.76,11/12/2003 0:00,Shipped,Classic Cars,132,S18_2870,Herkku Gifts,Bergen,Norway,Medium
38,100.0,4965.84,11/20/2003 0:00,Shipped,Classic Cars,132,S18_2870,Online Diecast Creations Co.,Nashua,USA,Medium
27,100.0,4169.88,12/2/2003 0:00,Shipped,Classic Cars,132,S18_2870,Muscle Machine Inc,NYC,USA,Medium
40,100.0,4910.4,1/16/2004 0:00,Shipped,Classic Cars,132,S18_2870,Euro Shopping Channel,Madrid,Spain,Medium
24,100.0,3231.36,2/26/2004 0:00,Shipped,Classic Cars,132,S18_2870,Collectable Mini Designs Co.,San Diego,USA,Medium
44,100.0,6853.44,4/13/2004 0:00,Shipped,Classic Cars,132,S18_2870,Mini Caravy,Strasbourg,France,Medium
37,100.0,5177.04,6/1/2004 0:00,Cancelled,Classic Cars,132,S18_2870,"UK Collectables, Ltd.",Liverpool,UK,Medium
20,100.0,2824.8,7/6/2004 0:00,Shipped,Classic Cars,132,S18_2870,L'ordine Souveniers,Reggio Emilia,Italy,Small
39,100.0,4324.32,8/6/2004 0:00,Shipped,Classic Cars,132,S18_2870,Signal Gift Stores,Las Vegas,USA,Medium
44,100.0,5052.96,8/30/2004 0:00,Shipped,Classic Cars,132,S18_2870,"Vida Sport, Ltd",Gensve,Switzerland,Medium
22,100.0,3223.44,10/5/2003 0:00,Shipped,Classic Cars,132,S18_2870,"Norway Gifts By Mail, Co.",Oslo,Norway,Medium
43,100.0,5278.68,10/16/2004 0:00,Shipped,Classic Cars,132,S18_2870,Euro Shopping Channel,Madrid,Spain,Medium
27,100.0,2851.2,11/4/2004 0:00,Shipped,Classic Cars,132,S18_2870,FunGiftIdeas.com,New Bedford,USA,Small
26,64.9,1687.4,11/17/2004 0:00,Shipped,Classic Cars,132,S18_2870,Motor Mint Distributors Inc.,Philadelphia,USA,Small
25,52.32,1308.0,11/24/2004 0:00,Shipped,Classic Cars,132,S18_2870,Reims Collectables,Reims,France,Small
49,100.0,6144.6,1/10/2005 0:00,Shipped,Classic Cars,132,S18_2870,Royale Belge,Charleroi,Belgium,Medium
29,100.0,5127.2,2/10/2005 0:00,Shipped,Classic Cars,132,S18_2870,Euro Shopping Channel,Madrid,Spain,Medium
41,100.0,6386.16,4/22/2005 0:00,On Hold,Classic Cars,132,S18_2870,The Sharp Gifts Warehouse,San Jose,USA,Medium
55,100.0,7695.6,5/17/2005 0:00,Shipped,Classic Cars,132,S18_2870,Salzburg Collectables,Salzburg,Austria,Large
27,83.07,2242.89,1/29/2003 0:00,Shipped,Vintage Cars,101,S18_2949,Baane Mini Imports,Stavern,Norway,Small
23,100.0,2539.89,3/24/2003 0:00,Shipped,Vintage Cars,101,S18_2949,"Volvo Model Replicas, Co",Lule,Sweden,Small
31,90.17,2795.27,5/28/2003 0:00,Shipped,Vintage Cars,101,S18_2949,"Corrida Auto Replicas, Ltd",Madrid,Spain,Small
46,100.0,5545.76,7/16/2003 0:00,Shipped,Vintage Cars,101,S18_2949,Souveniers And Things Co.,Chatswood,Australia,Medium
47,91.18,4285.46,9/19/2003 0:00,Shipped,Vintage Cars,101,S18_2949,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
31,100.0,3329.09,10/20/2003 0:00,Shipped,Vintage Cars,101,S18_2949,Classic Legends Inc.,NYC,USA,Medium
46,100.0,5592.22,11/6/2003 0:00,Shipped,Vintage Cars,101,S18_2949,"Australian Gift Network, Co",South Brisbane,Australia,Medium
37,89.15,3298.55,11/13/2003 0:00,Shipped,Vintage Cars,101,S18_2949,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium
28,93.21,2609.88,11/21/2003 0:00,Shipped,Vintage Cars,101,S18_2949,"Australian Collectables, Ltd",Glen Waverly,Australia,Small
37,90.17,3336.29,12/5/2003 0:00,Shipped,Vintage Cars,101,S18_2949,Canadian Gift Exchange Network,Vancouver,Canada,Medium
49,100.0,5510.05,1/29/2004 0:00,Shipped,Vintage Cars,101,S18_2949,West Coast Collectables Co.,Burbank,USA,Medium
24,100.0,2504.4,3/10/2004 0:00,Shipped,Vintage Cars,101,S18_2949,Cambridge Collectables Co.,Cambridge,USA,Small
30,100.0,3525.6,4/29/2004 0:00,Shipped,Vintage Cars,101,S18_2949,Euro Shopping Channel,Madrid,Spain,Medium
50,88.14,4407.0,6/14/2004 0:00,Shipped,Vintage Cars,101,S18_2949,The Sharp Gifts Warehouse,San Jose,USA,Medium
31,96.24,2983.44,7/19/2004 0:00,Shipped,Vintage Cars,101,S18_2949,Souveniers And Things Co.,Chatswood,Australia,Small
46,100.0,5126.24,8/17/2004 0:00,Shipped,Vintage Cars,101,S18_2949,Amica Models & Co.,Torino,Italy,Medium
47,100.0,5713.79,9/8/2004 0:00,Shipped,Vintage Cars,101,S18_2949,Scandinavian Gift Ideas,Boras,Sweden,Medium
46,100.0,4613.8,10/11/2004 0:00,Shipped,Vintage Cars,101,S18_2949,Auto Assoc. & Cie.,Versailles,France,Medium
37,100.0,3711.1,10/21/2004 0:00,Shipped,Vintage Cars,101,S18_2949,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
33,100.0,3524.73,11/4/2004 0:00,Shipped,Vintage Cars,101,S18_2949,Online Diecast Creations Co.,Nashua,USA,Medium
31,90.17,2795.27,11/18/2004 0:00,Shipped,Vintage Cars,101,S18_2949,Mini Wheels Co.,San Francisco,USA,Small
48,100.0,4814.4,11/29/2004 0:00,Shipped,Vintage Cars,101,S18_2949,"Australian Collectors, Co.",Melbourne,Australia,Medium
41,87.13,3572.33,12/10/2004 0:00,Shipped,Vintage Cars,101,S18_2949,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
42,100.0,4581.36,1/20/2005 0:00,Shipped,Vintage Cars,101,S18_2949,Collectables For Less Inc.,Brickhaven,USA,Medium
41,100.0,4319.76,2/17/2005 0:00,Shipped,Vintage Cars,101,S18_2949,Corporate Gift Ideas Co.,San Francisco,USA,Medium
32,45.25,1448.0,3/9/2005 0:00,Shipped,Vintage Cars,101,S18_2949,"Anna's Decorations, Ltd",North Sydney,Australia,Small
10,88.14,881.4,5/30/2005 0:00,In Process,Vintage Cars,101,S18_2949,Petit Auto,Bruxelles,Belgium,Small
35,57.46,2011.1,1/29/2003 0:00,Shipped,Vintage Cars,62,S18_2957,Baane Mini Imports,Stavern,Norway,Small
28,64.33,1801.24,3/25/2003 0:00,Shipped,Vintage Cars,62,S18_2957,Mini Wheels Co.,San Francisco,USA,Small
46,73.7,3390.2,5/28/2003 0:00,Shipped,Vintage Cars,62,S18_2957,"Corrida Auto Replicas, Ltd",Madrid,Spain,Medium
20,71.2,1424.0,7/16/2003 0:00,Shipped,Vintage Cars,62,S18_2957,Souveniers And Things Co.,Chatswood,Australia,Small
30,49.97,1499.1,9/19/2003 0:00,Shipped,Vintage Cars,62,S18_2957,"Dragon Souveniers, Ltd.",Singapore,Singapore,Small
48,69.96,3358.08,10/20/2003 0:00,Shipped,Vintage Cars,62,S18_2957,Classic Legends Inc.,NYC,USA,Medium
28,53.72,1504.16,11/5/2003 0:00,Shipped,Vintage Cars,62,S18_2957,Rovelli Gifts,Bergamo,Italy,Small
39,68.08,2655.12,11/13/2003 0:00,Shipped,Vintage Cars,62,S18_2957,"Classic Gift Ideas, Inc",Philadelphia,USA,Small
24,51.84,1244.16,11/21/2003 0:00,Shipped,Vintage Cars,62,S18_2957,"Australian Collectables, Ltd",Glen Waverly,Australia,Small
